年纪,工作性质,家庭收入,学位,婚姻状况,工作类型,家庭情况,族裔,性别,工作地点,标签
46,Government,140021,Highschool,Divorced,Intern,Living Alone,Black,Male,Rural,1
21,Private,112398,Master,Divorced,Contract,Living with Family,Asian,Female,Suburban,1
33,Government,193741,Highschool,Single,Part-time,Living with Roommates,Black,Female,Suburban,1
35,Government,72005,Master,Widowed,Full-time,Living with Family,Other,Female,Rural,1
55,Unemployed,154284,PhD,Single,Contract,Living with Roommates,White,Female,Rural,1
48,Private,166332,Highschool,Widowed,Part-time,Living Alone,White,Male,Urban,1
40,Self-emp,169795,Bachelor,Widowed,Part-time,Living with Roommates,Asian,Female,Suburban,1
21,Unemployed,168918,PhD,Divorced,Part-time,Living with Roommates,Hispanic,Male,Rural,1
56,Self-emp,181306,Bachelor,Married,Part-time,Living Alone,Hispanic,Male,Rural,1
45,Unemployed,118941,Highschool,Divorced,Part-time,Living Alone,Asian,Male,Suburban,1
50,Self-emp,44973,PhD,Divorced,Contract,Living Alone,Asian,Female,Suburban,0
47,Private,147755,Highschool,Divorced,Contract,Living Alone,White,Male,Rural,1
43,Government,179132,Bachelor,Divorced,Contract,Living Alone,Black,Male,Suburban,1
51,Private,138113,Bachelor,Divorced,Contract,Living Alone,Black,Male,Rural,1
30,Self-emp,46539,Highschool,Divorced,Full-time,Living with Family,Black,Female,Urban,0
69,Private,196258,PhD,Divorced,Intern,Living Alone,Other,Male,Urban,1
37,Unemployed,18041,Highschool,Single,Contract,Living with Roommates,Asian,Male,Rural,0
45,Government,64448,Highschool,Widowed,Part-time,Living with Family,Black,Female,Suburban,1
48,Unemployed,126923,Bachelor,Divorced,Full-time,Living with Family,Asian,Female,Rural,1
18,Private,87769,Highschool,Single,Part-time,Living with Roommates,Asian,Male,Rural,1
47,Self-emp,150069,Bachelor,Divorced,Part-time,Living Alone,Hispanic,Male,Rural,1
44,Private,97794,PhD,Widowed,Contract,Living with Roommates,Asian,Female,Suburban,1
18,Unemployed,37112,Highschool,Widowed,Contract,Living with Roommates,Asian,Female,Urban,0
49,Private,96036,Highschool,Single,Full-time,Living with Roommates,White,Female,Urban,1
67,Government,179616,Bachelor,Widowed,Contract,Living with Roommates,White,Male,Rural,1
24,Self-emp,193212,PhD,Divorced,Part-time,Living with Roommates,Hispanic,Female,Rural,1
41,Self-emp,114457,PhD,Widowed,Full-time,Living Alone,White,Female,Rural,1
41,Unemployed,47105,Bachelor,Divorced,Full-time,Living Alone,Asian,Male,Rural,0
27,Government,143997,Highschool,Married,Intern,Living Alone,Asian,Male,Rural,1
18,Unemployed,170772,Highschool,Married,Full-time,Living with Family,White,Male,Urban,1
46,Government,80969,Highschool,Married,Intern,Living Alone,Black,Male,Suburban,1
51,Private,36502,PhD,Married,Full-time,Living Alone,Other,Female,Rural,0
34,Private,61015,Master,Divorced,Contract,Living with Roommates,White,Male,Suburban,1
39,Private,129308,Master,Divorced,Full-time,Living with Family,Hispanic,Female,Suburban,1
34,Private,37958,Highschool,Widowed,Intern,Living with Family,Black,Female,Suburban,0
48,Self-emp,177868,Highschool,Single,Intern,Living with Family,White,Male,Rural,1
36,Unemployed,21641,Highschool,Divorced,Contract,Living with Roommates,Other,Female,Rural,0
30,Self-emp,89351,Master,Married,Intern,Living with Family,Hispanic,Male,Suburban,1
38,Private,161721,PhD,Single,Part-time,Living with Roommates,Asian,Female,Suburban,1
56,Unemployed,78964,Highschool,Married,Full-time,Living with Roommates,White,Male,Urban,1
21,Government,180894,PhD,Divorced,Part-time,Living with Roommates,Hispanic,Female,Urban,1
29,Private,96211,Master,Single,Contract,Living with Roommates,Other,Male,Urban,1
61,Self-emp,192484,Highschool,Divorced,Intern,Living with Roommates,Hispanic,Male,Suburban,1
41,Private,24134,Bachelor,Single,Contract,Living with Roommates,Other,Male,Urban,0
26,Private,20274,Master,Single,Full-time,Living with Family,Black,Male,Rural,0
61,Private,192098,Bachelor,Married,Contract,Living with Family,Other,Female,Suburban,1
28,Private,105407,Highschool,Widowed,Intern,Living with Family,Asian,Male,Rural,1
50,Self-emp,156124,Highschool,Single,Intern,Living Alone,White,Male,Rural,1
34,Unemployed,190589,PhD,Divorced,Full-time,Living Alone,White,Male,Suburban,1
70,Self-emp,160028,Highschool,Single,Contract,Living with Family,White,Male,Suburban,1
23,Unemployed,104596,Highschool,Married,Intern,Living with Family,Asian,Female,Rural,1
54,Self-emp,158551,PhD,Married,Intern,Living Alone,Black,Male,Urban,1
51,Unemployed,115486,PhD,Widowed,Part-time,Living with Family,Asian,Female,Urban,1
59,Private,158598,Bachelor,Divorced,Intern,Living Alone,Other,Female,Suburban,1
54,Government,53052,Highschool,Widowed,Contract,Living with Family,Black,Female,Suburban,1
65,Self-emp,37972,Bachelor,Divorced,Part-time,Living with Family,Asian,Male,Urban,0
43,Private,167046,Highschool,Single,Intern,Living with Roommates,Black,Male,Suburban,1
50,Unemployed,39402,Highschool,Single,Intern,Living with Family,Asian,Female,Urban,0
69,Private,11701,PhD,Divorced,Intern,Living with Roommates,Hispanic,Male,Urban,0
34,Unemployed,37628,PhD,Divorced,Intern,Living with Family,Black,Male,Suburban,0
51,Private,54424,Master,Widowed,Contract,Living Alone,Black,Female,Urban,1
65,Government,31856,Bachelor,Widowed,Contract,Living with Family,Black,Female,Suburban,0
32,Government,182067,Master,Widowed,Part-time,Living with Family,Other,Female,Suburban,1
63,Private,131399,Master,Divorced,Contract,Living Alone,White,Female,Suburban,1
25,Unemployed,86403,Bachelor,Widowed,Full-time,Living with Roommates,White,Female,Rural,1
51,Unemployed,162161,PhD,Divorced,Full-time,Living with Roommates,White,Male,Urban,1
50,Unemployed,72819,Bachelor,Divorced,Part-time,Living with Roommates,Other,Male,Rural,1
30,Government,71632,PhD,Married,Intern,Living with Roommates,Other,Male,Urban,1
23,Unemployed,78618,Master,Divorced,Intern,Living with Roommates,Other,Male,Suburban,1
43,Private,97385,Master,Widowed,Contract,Living Alone,Hispanic,Male,Rural,1
36,Self-emp,45656,Highschool,Single,Intern,Living Alone,Asian,Male,Rural,0
25,Private,11430,Master,Single,Full-time,Living Alone,Other,Male,Suburban,0
38,Self-emp,74642,Master,Married,Part-time,Living with Family,White,Male,Urban,1
41,Unemployed,124893,Highschool,Married,Intern,Living Alone,Asian,Female,Urban,1
20,Government,44490,Bachelor,Single,Contract,Living Alone,Black,Male,Suburban,0
28,Private,142437,Master,Married,Intern,Living Alone,Asian,Male,Rural,1
60,Self-emp,178560,Master,Widowed,Contract,Living Alone,Asian,Male,Suburban,1
35,Private,166027,Bachelor,Married,Contract,Living with Family,Other,Female,Suburban,1
31,Private,127860,PhD,Divorced,Intern,Living with Roommates,Hispanic,Female,Urban,1
49,Self-emp,180188,Highschool,Widowed,Part-time,Living with Family,Hispanic,Male,Suburban,1
53,Unemployed,133698,Master,Divorced,Contract,Living with Roommates,Black,Female,Rural,1
65,Government,38829,Bachelor,Married,Contract,Living with Roommates,Hispanic,Male,Urban,0
50,Unemployed,80347,Bachelor,Widowed,Intern,Living with Family,Asian,Male,Suburban,1
53,Self-emp,131330,Bachelor,Married,Contract,Living Alone,White,Female,Suburban,1
21,Unemployed,147901,Highschool,Married,Contract,Living Alone,Asian,Female,Rural,1
20,Government,15411,Highschool,Single,Contract,Living with Roommates,Other,Female,Rural,0
40,Unemployed,27142,Highschool,Single,Full-time,Living Alone,White,Male,Urban,0
45,Government,158162,Highschool,Married,Part-time,Living Alone,Black,Female,Suburban,1
49,Government,104812,Master,Widowed,Part-time,Living with Family,Hispanic,Female,Suburban,1
39,Unemployed,125440,Bachelor,Married,Full-time,Living Alone,Black,Female,Suburban,1
52,Private,152684,Master,Single,Full-time,Living with Family,White,Male,Rural,1
21,Government,46677,PhD,Single,Contract,Living Alone,Asian,Male,Suburban,0
61,Unemployed,133867,Bachelor,Widowed,Intern,Living with Family,Black,Female,Suburban,1
18,Self-emp,125598,Bachelor,Widowed,Full-time,Living with Family,Black,Male,Rural,1
24,Unemployed,130191,PhD,Divorced,Intern,Living Alone,Asian,Male,Urban,1
39,Government,52171,PhD,Married,Full-time,Living with Family,Hispanic,Male,Suburban,1
64,Government,186470,Bachelor,Widowed,Part-time,Living with Roommates,White,Male,Rural,1
55,Self-emp,116723,PhD,Married,Full-time,Living with Roommates,Other,Male,Rural,1
21,Self-emp,34230,PhD,Widowed,Contract,Living with Roommates,Other,Female,Rural,0
56,Private,142962,Master,Widowed,Full-time,Living Alone,Other,Male,Urban,1
32,Self-emp,114556,Highschool,Married,Full-time,Living Alone,Hispanic,Male,Urban,1
70,Private,66054,Highschool,Divorced,Intern,Living with Family,Black,Female,Suburban,1
54,Unemployed,131090,Highschool,Divorced,Intern,Living Alone,Other,Female,Rural,1
41,Government,157436,Master,Single,Contract,Living with Family,Hispanic,Female,Urban,1
35,Private,155649,Bachelor,Divorced,Intern,Living with Roommates,Hispanic,Female,Rural,1
24,Private,192224,PhD,Married,Part-time,Living with Family,White,Female,Urban,1
22,Government,197246,PhD,Widowed,Full-time,Living with Family,White,Female,Suburban,1
57,Private,108993,Bachelor,Married,Part-time,Living Alone,Hispanic,Male,Suburban,1
68,Unemployed,151536,PhD,Widowed,Contract,Living with Family,Hispanic,Female,Suburban,1
36,Self-emp,56913,Master,Single,Full-time,Living with Family,Asian,Male,Urban,1
68,Unemployed,107194,PhD,Married,Intern,Living with Family,White,Male,Urban,1
53,Unemployed,147269,Bachelor,Widowed,Full-time,Living Alone,White,Female,Suburban,1
64,Unemployed,158455,Master,Single,Contract,Living with Roommates,Other,Male,Rural,1
66,Private,114646,Highschool,Married,Intern,Living with Family,Asian,Female,Rural,1
23,Government,98421,Highschool,Married,Intern,Living Alone,Black,Female,Suburban,1
35,Government,41074,Master,Single,Full-time,Living with Roommates,White,Female,Rural,0
19,Government,119774,Master,Single,Intern,Living with Roommates,Other,Male,Urban,1
63,Private,143589,Bachelor,Married,Full-time,Living with Family,Hispanic,Female,Urban,1
66,Private,112614,PhD,Widowed,Contract,Living with Roommates,Hispanic,Male,Suburban,1
56,Government,40345,Master,Divorced,Part-time,Living Alone,White,Male,Suburban,0
46,Government,106604,PhD,Divorced,Contract,Living Alone,Asian,Female,Suburban,1
39,Government,17706,Master,Widowed,Contract,Living Alone,Asian,Female,Rural,0
50,Private,125512,Highschool,Divorced,Part-time,Living Alone,Asian,Female,Suburban,1
59,Private,74321,PhD,Widowed,Contract,Living Alone,Asian,Female,Suburban,1
24,Self-emp,102140,PhD,Divorced,Intern,Living Alone,Black,Female,Suburban,1
56,Government,33774,Highschool,Widowed,Full-time,Living Alone,White,Male,Urban,0
31,Self-emp,166915,Bachelor,Single,Full-time,Living Alone,Other,Male,Urban,1
49,Unemployed,113958,Highschool,Widowed,Contract,Living with Family,Asian,Female,Rural,1
61,Self-emp,85230,Master,Single,Full-time,Living Alone,Asian,Female,Rural,1
52,Unemployed,70145,PhD,Divorced,Contract,Living Alone,Other,Female,Suburban,1
34,Government,100787,Bachelor,Married,Part-time,Living with Roommates,Asian,Male,Rural,1
40,Self-emp,191466,Bachelor,Married,Intern,Living with Family,White,Female,Urban,1
60,Unemployed,133449,Highschool,Widowed,Intern,Living with Roommates,White,Female,Rural,1
34,Government,71088,Master,Widowed,Contract,Living with Family,Other,Male,Suburban,1
54,Government,32537,Bachelor,Divorced,Full-time,Living with Roommates,Asian,Male,Suburban,0
23,Self-emp,29389,Master,Widowed,Full-time,Living with Roommates,White,Male,Suburban,0
69,Government,11970,Highschool,Single,Full-time,Living with Roommates,Asian,Female,Urban,0
23,Unemployed,40127,PhD,Married,Intern,Living with Family,Black,Male,Suburban,0
23,Self-emp,126289,PhD,Married,Intern,Living with Roommates,Other,Female,Urban,1
23,Self-emp,99107,PhD,Divorced,Full-time,Living Alone,Asian,Female,Urban,1
63,Self-emp,33968,PhD,Divorced,Intern,Living with Roommates,Hispanic,Female,Rural,0
53,Government,80111,Bachelor,Married,Intern,Living with Family,Other,Female,Suburban,1
41,Unemployed,41666,Bachelor,Single,Full-time,Living with Roommates,Black,Male,Urban,0
65,Private,74688,Master,Single,Contract,Living Alone,Other,Male,Rural,1
42,Private,51817,PhD,Married,Part-time,Living with Roommates,White,Female,Urban,1
51,Government,10310,Highschool,Married,Intern,Living Alone,Black,Male,Suburban,0
37,Private,118624,Bachelor,Single,Intern,Living with Family,White,Female,Suburban,1
43,Self-emp,173490,PhD,Single,Part-time,Living with Roommates,Black,Male,Urban,1
68,Government,32047,Highschool,Single,Intern,Living Alone,Other,Female,Suburban,0
32,Government,166606,Master,Single,Part-time,Living with Family,Asian,Female,Rural,1
59,Private,114283,Highschool,Widowed,Contract,Living with Family,Asian,Female,Urban,1
28,Government,128925,PhD,Widowed,Full-time,Living with Roommates,Black,Male,Suburban,1
52,Government,44294,Master,Married,Intern,Living with Roommates,Hispanic,Male,Rural,0
54,Self-emp,198544,PhD,Widowed,Part-time,Living with Family,Asian,Female,Urban,1
52,Self-emp,117763,Highschool,Divorced,Part-time,Living with Roommates,White,Male,Urban,1
53,Unemployed,70425,Highschool,Single,Part-time,Living with Roommates,Hispanic,Male,Suburban,1
35,Self-emp,130444,Master,Divorced,Full-time,Living with Family,Other,Male,Suburban,1
50,Unemployed,49881,Master,Single,Part-time,Living with Family,Other,Female,Suburban,0
46,Self-emp,138532,Highschool,Married,Part-time,Living with Roommates,Other,Male,Urban,1
43,Self-emp,35357,Highschool,Single,Part-time,Living with Roommates,Black,Male,Urban,0
36,Government,76908,PhD,Married,Part-time,Living with Family,White,Female,Suburban,1
37,Private,70399,Bachelor,Single,Part-time,Living with Roommates,Black,Male,Rural,1
27,Government,167502,PhD,Married,Intern,Living with Family,Black,Male,Urban,1
66,Private,113564,PhD,Divorced,Intern,Living with Family,Hispanic,Female,Urban,1
67,Unemployed,193636,PhD,Single,Part-time,Living with Roommates,Black,Male,Urban,1
68,Unemployed,39051,Bachelor,Widowed,Part-time,Living with Family,Asian,Male,Urban,0
33,Private,50517,Highschool,Married,Full-time,Living with Family,Asian,Male,Suburban,1
59,Government,147131,PhD,Widowed,Contract,Living Alone,Other,Male,Urban,1
36,Government,183047,Highschool,Single,Contract,Living with Roommates,Other,Male,Urban,1
50,Unemployed,45797,PhD,Married,Contract,Living Alone,Black,Female,Urban,0
47,Unemployed,79970,Highschool,Single,Intern,Living with Roommates,Asian,Female,Urban,1
59,Unemployed,27608,Highschool,Married,Part-time,Living Alone,Black,Male,Suburban,0
70,Self-emp,57098,Bachelor,Married,Full-time,Living Alone,Other,Male,Suburban,1
50,Self-emp,93374,Master,Single,Contract,Living with Family,Asian,Female,Suburban,1
58,Private,133873,PhD,Single,Part-time,Living Alone,Hispanic,Male,Rural,1
63,Private,21839,Bachelor,Divorced,Part-time,Living Alone,White,Male,Rural,0
35,Self-emp,29378,PhD,Widowed,Contract,Living with Roommates,Black,Female,Urban,0
49,Unemployed,36705,PhD,Married,Part-time,Living Alone,Other,Female,Urban,0
49,Government,26399,Bachelor,Widowed,Contract,Living with Family,Hispanic,Female,Suburban,0
45,Self-emp,112283,PhD,Married,Part-time,Living with Roommates,White,Female,Urban,1
70,Self-emp,11988,Highschool,Divorced,Part-time,Living with Roommates,Asian,Male,Suburban,0
69,Government,140245,Master,Married,Part-time,Living with Roommates,Other,Male,Suburban,1
61,Unemployed,149356,Bachelor,Single,Contract,Living Alone,Asian,Male,Suburban,1
26,Private,105189,Highschool,Single,Part-time,Living with Roommates,Other,Male,Rural,1
56,Private,34245,Highschool,Widowed,Intern,Living with Roommates,Other,Female,Urban,0
52,Private,35292,Bachelor,Divorced,Full-time,Living Alone,Other,Male,Suburban,0
19,Private,99637,Highschool,Widowed,Contract,Living with Roommates,White,Male,Urban,1
18,Private,187221,PhD,Divorced,Contract,Living Alone,Asian,Female,Suburban,1
52,Self-emp,158283,Master,Divorced,Full-time,Living with Roommates,White,Male,Suburban,1
47,Unemployed,112466,Highschool,Married,Intern,Living Alone,White,Male,Rural,1
53,Government,193253,Bachelor,Single,Part-time,Living with Roommates,Asian,Female,Rural,1
33,Unemployed,159879,Master,Widowed,Full-time,Living Alone,Black,Male,Rural,1
44,Private,125400,Highschool,Divorced,Full-time,Living with Roommates,White,Male,Urban,1
34,Self-emp,125641,PhD,Divorced,Full-time,Living with Family,Hispanic,Female,Urban,1
55,Private,43925,PhD,Widowed,Full-time,Living with Family,Black,Male,Rural,0
18,Self-emp,111056,Highschool,Widowed,Full-time,Living with Family,Black,Male,Rural,1
54,Unemployed,176646,PhD,Divorced,Full-time,Living with Family,Hispanic,Male,Urban,1
50,Private,184954,PhD,Married,Part-time,Living with Family,Hispanic,Female,Urban,1
28,Government,94049,PhD,Married,Contract,Living Alone,Other,Male,Rural,1
70,Self-emp,143977,Highschool,Divorced,Contract,Living Alone,White,Male,Rural,1
26,Private,98195,PhD,Married,Intern,Living with Family,Hispanic,Male,Urban,1
52,Unemployed,184051,Master,Married,Contract,Living with Family,Asian,Female,Suburban,1
66,Unemployed,76576,PhD,Married,Contract,Living with Family,Other,Male,Rural,1
39,Government,147441,Master,Widowed,Contract,Living with Roommates,Hispanic,Male,Suburban,1
57,Unemployed,150309,Highschool,Widowed,Part-time,Living with Roommates,Hispanic,Male,Urban,1
25,Self-emp,48851,Master,Widowed,Full-time,Living with Roommates,White,Male,Urban,0
51,Self-emp,116809,Highschool,Married,Part-time,Living Alone,Black,Female,Urban,1
21,Unemployed,57967,Master,Married,Full-time,Living with Roommates,Other,Male,Rural,1
27,Unemployed,43980,Highschool,Divorced,Part-time,Living with Family,Asian,Female,Suburban,0
24,Unemployed,16728,Bachelor,Divorced,Contract,Living with Family,Other,Female,Rural,0
23,Unemployed,193633,PhD,Widowed,Intern,Living with Roommates,Other,Female,Urban,1
34,Unemployed,173618,Highschool,Married,Part-time,Living with Family,White,Female,Urban,1
60,Private,68443,Bachelor,Single,Part-time,Living Alone,Other,Female,Suburban,1
25,Private,123375,Bachelor,Married,Full-time,Living with Family,Asian,Male,Urban,1
50,Unemployed,95164,PhD,Widowed,Intern,Living Alone,Black,Female,Suburban,1
35,Unemployed,82775,Bachelor,Divorced,Full-time,Living with Roommates,Asian,Female,Suburban,1
65,Self-emp,75668,PhD,Single,Full-time,Living Alone,Other,Male,Suburban,1
27,Self-emp,185221,Bachelor,Divorced,Contract,Living with Family,White,Male,Urban,1
21,Private,93356,Bachelor,Married,Intern,Living Alone,White,Female,Rural,1
21,Unemployed,116573,Bachelor,Widowed,Intern,Living with Family,White,Male,Rural,1
70,Unemployed,24250,Master,Divorced,Contract,Living Alone,Other,Female,Suburban,0
53,Government,191139,PhD,Single,Part-time,Living with Roommates,Hispanic,Female,Suburban,1
64,Government,50405,PhD,Married,Full-time,Living with Roommates,Asian,Female,Rural,1
40,Government,93799,Highschool,Widowed,Part-time,Living with Family,White,Male,Rural,1
29,Self-emp,157793,Bachelor,Married,Full-time,Living Alone,Black,Female,Rural,1
50,Private,63226,Highschool,Divorced,Contract,Living with Roommates,Other,Male,Suburban,1
69,Government,28608,Highschool,Divorced,Intern,Living with Roommates,White,Female,Suburban,0
34,Private,196559,Bachelor,Divorced,Intern,Living with Family,Black,Male,Suburban,1
31,Unemployed,61158,Bachelor,Widowed,Part-time,Living with Roommates,Black,Female,Rural,1
40,Unemployed,58645,Bachelor,Widowed,Part-time,Living Alone,Black,Female,Rural,1
51,Government,151364,Master,Widowed,Full-time,Living with Family,Asian,Male,Rural,1
21,Unemployed,165724,PhD,Widowed,Part-time,Living with Family,Hispanic,Female,Urban,1
21,Government,96376,Bachelor,Divorced,Contract,Living with Roommates,Hispanic,Female,Rural,1
22,Private,105328,Highschool,Single,Contract,Living with Family,Asian,Female,Suburban,1
39,Self-emp,31306,Bachelor,Divorced,Full-time,Living with Family,White,Male,Urban,0
59,Self-emp,199926,Bachelor,Divorced,Contract,Living Alone,Asian,Male,Urban,1
57,Unemployed,136521,PhD,Married,Contract,Living with Family,White,Female,Rural,1
64,Self-emp,170547,Bachelor,Married,Contract,Living with Family,Other,Female,Rural,1
53,Unemployed,119630,Highschool,Married,Part-time,Living Alone,Black,Male,Urban,1
57,Government,187391,PhD,Married,Full-time,Living Alone,Asian,Male,Urban,1
50,Self-emp,81078,Master,Single,Part-time,Living with Roommates,White,Male,Urban,1
25,Government,76587,PhD,Married,Intern,Living with Family,Other,Male,Rural,1
51,Self-emp,64487,Master,Divorced,Full-time,Living with Family,Black,Male,Urban,1
34,Unemployed,143785,Bachelor,Widowed,Contract,Living Alone,Hispanic,Female,Rural,1
61,Self-emp,86995,Highschool,Divorced,Full-time,Living Alone,Black,Female,Urban,1
65,Unemployed,95139,Highschool,Widowed,Full-time,Living Alone,Other,Male,Rural,1
29,Government,151942,Master,Single,Part-time,Living with Roommates,Asian,Male,Rural,1
29,Self-emp,23414,Master,Divorced,Full-time,Living Alone,White,Female,Suburban,0
67,Unemployed,110620,Highschool,Single,Part-time,Living with Roommates,Hispanic,Female,Suburban,1
44,Government,187167,Master,Married,Full-time,Living with Family,Hispanic,Male,Suburban,1
46,Private,135440,Highschool,Married,Full-time,Living with Roommates,Asian,Male,Rural,1
46,Unemployed,37938,PhD,Widowed,Contract,Living with Family,Hispanic,Female,Suburban,0
66,Unemployed,52741,Highschool,Single,Full-time,Living with Roommates,Hispanic,Female,Rural,1
60,Private,174393,Bachelor,Divorced,Full-time,Living Alone,Black,Male,Urban,1
40,Private,137679,Bachelor,Widowed,Intern,Living Alone,Other,Male,Rural,1
33,Government,35343,Bachelor,Married,Contract,Living Alone,Other,Male,Suburban,0
55,Government,59619,Bachelor,Divorced,Full-time,Living with Roommates,White,Male,Urban,1
70,Self-emp,43245,Highschool,Widowed,Full-time,Living with Family,Black,Female,Urban,0
54,Self-emp,191261,PhD,Widowed,Intern,Living with Family,Asian,Female,Urban,1
30,Self-emp,124794,Master,Widowed,Full-time,Living with Roommates,White,Male,Rural,1
67,Government,141760,Highschool,Single,Part-time,Living with Roommates,Black,Female,Urban,1
33,Private,79469,PhD,Single,Contract,Living with Family,White,Female,Urban,1
44,Unemployed,77745,PhD,Married,Full-time,Living with Roommates,Black,Female,Suburban,1
54,Government,172220,Master,Widowed,Part-time,Living with Family,White,Female,Rural,1
68,Self-emp,72303,Master,Divorced,Part-time,Living Alone,Other,Female,Rural,1
61,Government,187145,Bachelor,Single,Full-time,Living Alone,Hispanic,Female,Urban,1
26,Government,31067,Highschool,Widowed,Contract,Living Alone,Asian,Male,Suburban,0
67,Self-emp,28019,Bachelor,Divorced,Intern,Living Alone,Hispanic,Male,Urban,0
64,Self-emp,54191,Bachelor,Single,Intern,Living Alone,Asian,Male,Urban,1
52,Government,138573,Master,Married,Contract,Living with Roommates,Black,Female,Suburban,1
42,Self-emp,120269,Master,Widowed,Contract,Living with Roommates,Asian,Male,Suburban,1
38,Government,102511,Highschool,Married,Full-time,Living with Family,Black,Male,Urban,1
48,Government,56479,Highschool,Widowed,Part-time,Living with Family,Other,Male,Suburban,1
41,Government,109890,PhD,Single,Part-time,Living Alone,White,Female,Urban,1
34,Government,93142,Master,Divorced,Contract,Living Alone,Black,Male,Rural,1
29,Government,195903,Bachelor,Single,Intern,Living with Family,Black,Male,Suburban,1
67,Self-emp,36531,Master,Married,Full-time,Living with Roommates,Hispanic,Male,Suburban,0
40,Self-emp,79414,Master,Divorced,Contract,Living with Roommates,White,Female,Suburban,1
43,Government,194137,Highschool,Single,Contract,Living with Family,Other,Female,Suburban,1
49,Unemployed,161599,Bachelor,Widowed,Contract,Living with Roommates,Asian,Male,Rural,1
62,Unemployed,110409,Highschool,Divorced,Full-time,Living with Roommates,Other,Male,Suburban,1
23,Government,187707,Bachelor,Married,Full-time,Living with Roommates,Other,Female,Rural,1
49,Private,127969,Master,Single,Intern,Living Alone,Black,Male,Urban,1
68,Unemployed,15647,Master,Widowed,Contract,Living with Roommates,White,Female,Suburban,0
26,Unemployed,175326,PhD,Single,Full-time,Living with Family,Asian,Female,Rural,1
38,Government,134676,Highschool,Married,Full-time,Living with Roommates,Black,Male,Suburban,1
43,Unemployed,179256,Master,Married,Part-time,Living with Roommates,White,Female,Suburban,1
37,Unemployed,42708,PhD,Divorced,Contract,Living Alone,Black,Female,Rural,0
56,Self-emp,110389,Highschool,Divorced,Full-time,Living with Family,White,Female,Urban,1
53,Self-emp,70804,Bachelor,Divorced,Contract,Living Alone,White,Male,Suburban,1
36,Self-emp,173067,PhD,Divorced,Full-time,Living with Family,White,Male,Suburban,1
22,Self-emp,77840,PhD,Divorced,Full-time,Living with Family,Hispanic,Female,Urban,1
35,Self-emp,198946,Bachelor,Married,Intern,Living Alone,Asian,Male,Suburban,1
62,Private,33000,Bachelor,Widowed,Intern,Living Alone,Asian,Male,Suburban,0
67,Unemployed,18871,Master,Single,Full-time,Living Alone,Other,Female,Urban,0
48,Unemployed,107129,Bachelor,Divorced,Contract,Living Alone,Hispanic,Female,Suburban,1
